,Event,Stage,Query Date,Query Term,Id,Username,Text,Date,Hashtags,Location
0,ne_bomb_cyclone,after,2019-10-20,power outage,1185704921078947845,BrookeLuzziNP,I guess the football gods are sparing me the heartache...we are sitting here in the dark without power. I guess I will troll Twitter for updates on the Georgia game. #UKvsUGA #GoDawgs #BeatTheWildcats #poweroutage ,2019-10-19 23:50:57+00:00,#UKvsUGA #GoDawgs #BeatTheWildcats #poweroutage,
1,ne_bomb_cyclone,after,2019-10-20,power outage,1185704446615003136,chrispian,"Ok, enough power outage. Mobile hotspot engaged.",2019-10-19 23:49:04+00:00,,
2,ne_bomb_cyclone,after,2019-10-20,power outage,1185703861186682880,wsbradio,#BREAKING Nestor downs power lines and trees in the metro Atlanta. Power outages reported in Sandy Springs. http://bit.ly/2oN4d0E,2019-10-19 23:46:44+00:00,#BREAKING,
3,ne_bomb_cyclone,after,2019-10-20,power outage,1185703678126243840,stephanierauger,"Your team is TOP NOTCH! Although I’m still waiting for my supreme mystery box...I know you’re working very very very hard to get everything out! Two major launches, the fires, power outages, no internet..you conquered it all!",2019-10-19 23:46:00+00:00,,
4,ne_bomb_cyclone,after,2019-10-20,power outage,1185703462241210368,fickett_donald,How many electric cars were idled during the power outage? ,2019-10-19 23:45:09+00:00,,
5,ne_bomb_cyclone,after,2019-10-20,power outage,1185703444000194562,fiercedino080,"oof, power outage then",2019-10-19 23:45:05+00:00,,
6,ne_bomb_cyclone,after,2019-10-20,power outage,1185703355286462464,autochesterffej,California power outage is for a reason. Deep state Lucifer worshipers and child abusers are going to pay for their actions WWG1WGA. ,2019-10-19 23:44:43+00:00,,
7,ne_bomb_cyclone,after,2019-10-20,power outage,1185702949177249792,BJLife,"Towson Town Center Evacuated After Fire, Power Outage ",2019-10-19 23:43:07+00:00,,
8,ne_bomb_cyclone,after,2019-10-20,power outage,1185702884052209665,jacquelinethill,Power outages are good experiences to include in a scene or short story. JS #writerslife #WritingCommunity #writing #storytelling #blogger #writingadvice #writingtips #poweroutage #writers,2019-10-19 23:42:51+00:00,#writerslife #WritingCommunity #writing #storytelling #blogger #writingadvice #writingtips #poweroutage #writers,
9,ne_bomb_cyclone,after,2019-10-20,power outage,1185702449991966721,IncidentAlert22,"Power Outage: 02:07: (53 premises) - Gowrie Street, Tatura - Restoration: 05:30 20-10-2019 Cause: Under investigation See https://www.powercor.com.au/power-outages #vicPower",2019-10-19 23:41:08+00:00,#vicPower,
10,ne_bomb_cyclone,after,2019-10-20,power outage,1185701467505774592,mfirebrand1,PG&E CEO Says California Could See More Power Outages For 10 Years : NPR ,2019-10-19 23:37:13+00:00,,
11,ne_bomb_cyclone,after,2019-10-20,power outage,1185700653118771200,jtower3653,Groceries to replace what I lost in the power outage from the Nor'Easter we had here.,2019-10-19 23:33:59+00:00,,
12,ne_bomb_cyclone,after,2019-10-20,power outage,1185699522690859009,STATiSBEATS,"@alectranews 2233 hurontario street in mississauga has a power outage, it's a building",2019-10-19 23:29:30+00:00,,
