,Event,Stage,Query Date,Query Term,Id,Username,Text,Date,Hashtags,Location
0,january-early,after,2019-01-10,power outage,1083150804364623872,Cxstrumn,sorry I have not been streaming guys I had a big power outage for like 2 days but ill be back on the grind tonight,2019-01-09 23:57:30+00:00,,
1,january-early,after,2019-01-10,power outage,1083150636118614016,KiFitnessHealth, Power Outage workouts for the win! We have had 2 in the last few months... It’s been stormy on #vancouverisland that’s for sure! But why waste a perfectly good personal training session just because... https://www.facebook.com/203192903100209/posts/2035711403181674/,2019-01-09 23:56:50+00:00,#vancouverisland,
2,january-early,after,2019-01-10,power outage,1083150396766318592,TurlockID,"Crews working on outage in Denair. Most customers initially affected have had their power restored, but we're still working on full restoration. Current ETA for full restoration is 9 pm. Thank you for your patience. ",2019-01-09 23:55:53+00:00,,
3,january-early,after,2019-01-10,power outage,1083149719868788736,foxykatie425,PSA if you’re driving in Blackwood tonight: there’s a HUGE power outage that goes all the way from Lamppost Diner to Highland High School. There are at least two stoplights that are not operational and it is pitch black. ,2019-01-09 23:53:11+00:00,,
4,january-early,after,2019-01-10,power outage,1083149629980581888,CrestviewFire,It appears that a bobcat was the culprit of a power outage to the John King Road area in Crestview early this morning. https://www.facebook.com/story.php?story_fbid=2016998688416132&amp;id=266985026750849,2019-01-09 23:52:50+00:00,,
5,january-early,after,2019-01-10,power outage,1083149091490545664,elias0roa,"One of the positives I like about the Switch is that it doesn’t need power like a PS4 or Xbox One, it is pretty much a higher quality DS except with one screen and newer games and more buttons. The Switch is great for power outages is my point here.",2019-01-09 23:50:42+00:00,,
6,january-early,after,2019-01-10,power outage,1083146871088963584,chugachelectric,2:40 pm update: Power has been restored to about half of those impacted by this outage. Members living on either side of Beechcraft and along Lakeshore Dr./Lake Hood are still out. The crew will continue working on restoration for all.,2019-01-09 23:41:52+00:00,,
7,january-early,after,2019-01-10,power outage,1083146711571288064,GloTwpPolice,Power Outage In Gloucester Township. Areas impacted are the Black Horse Pike - Blackwood Clementon Rd.-College Drive Area ,2019-01-09 23:41:14+00:00,,
8,january-early,after,2019-01-10,power outage,1083145473756663809,hosigbemeh,Do not be surprised if they even have power outage up to 5 mins for every 24hours,2019-01-09 23:36:19+00:00,,
9,january-early,after,2019-01-10,power outage,1083144474140831744,awesomeNZtours,Hi everyone! Just letting you know that we’ve had a power outage at our contact centre and they’ll be out of action until it’s back up and running. We’re hoping it won’t be more than a few hours! If you need to... https://www.facebook.com/278262082309761/posts/1521123168023640/,2019-01-09 23:32:21+00:00,,
10,january-early,after,2019-01-10,power outage,1083144261233754115,GreatSightsNZ,Hi everyone! Just letting you know that we’ve had a power outage at our contact centre and they’ll be out of action until it’s back up and running. We’re hoping it won’t be more than a few hours! If you need to... https://www.facebook.com/520862394693272/posts/1876715839107914/,2019-01-09 23:31:30+00:00,,
11,january-early,after,2019-01-10,power outage,1083144130606366721,graylinenz,Hi everyone! Just letting you know that we’ve had a power outage at our contact centre and they’ll be out of action until it’s back up and running. We’re hoping it won’t be more than a few hours! If you need to... https://www.facebook.com/152843578183597/posts/1476317345836207/,2019-01-09 23:30:59+00:00,,
12,january-early,after,2019-01-10,power outage,1083144060263649280,InterCityBUS,Hi everyone! Just letting you know that we’ve had a power outage at our contact centre and they’ll be out of action until it’s back up and running. We’re hoping it won’t be more than a few hours! If you need to get... https://www.facebook.com/65495953184/posts/10157033970698185/,2019-01-09 23:30:42+00:00,,
13,january-early,after,2019-01-10,power outage,1083143724132196357,gunnersarus_rex,"Dino, A senator that earns over #13million monthly, cannot afford a generating set plus fuel cost to power his Mansion when there's power outage? You(@benmurraybruce) have always been a PATHETIC LIAR, ever since you became a Senator.",2019-01-09 23:29:22+00:00,#13million,
14,january-early,after,2019-01-10,power outage,1083143534989852672,bastosjaywick,Power outage fmlis,2019-01-09 23:28:37+00:00,,
15,january-early,after,2019-01-10,power outage,1083143318693924866,uarkITS,Update on the #UARK Data Center power outage. Services are operational but without backup power: https://mailchi.mp/0c5c6055bada/update-on-data-center-power-outage-429475,2019-01-09 23:27:45+00:00,#UARK,
