,Event,Stage,Query Date,Query Term,Id,Username,Text,Date,Hashtags,Location
0,july-early,after,2019-06-10,power outage,1137871733183193088,Missy1607,Wide spread power outage for many hours. Please confirm you are getting updates on any progress. Thanks.,2019-06-09 23:58:56+00:00,,
1,july-early,after,2019-06-10,power outage,1137871614341783552,standingup4us2,Isn’t this how the Venezuelan power outage began?,2019-06-09 23:58:28+00:00,,
2,july-early,after,2019-06-10,power outage,1137871550567374851,pnix_25,Fuck these damn power outages...I just want some pizza ,2019-06-09 23:58:12+00:00,,
3,july-early,after,2019-06-10,power outage,1137871214398119937,Davids_Brain,Power AND cell towers have been down since 2pm or so around Love Field. Couldn't report the outage from my house,2019-06-09 23:56:52+00:00,,
4,july-early,after,2019-06-10,power outage,1137870980683128834,ir0nw0lf,"Power outage in neighborhood going on 1 hour, hope my phone can last long enough to make ESO stream!",2019-06-09 23:55:57+00:00,,
5,july-early,after,2019-06-10,power outage,1137870817721815041,eayucel,Major power outage and tree damage in Dallas,2019-06-09 23:55:18+00:00,,
6,july-early,after,2019-06-10,power outage,1137870747022647301,nicoletteatx,@AlbertR_KVUE power outage in Pflugerville just now!,2019-06-09 23:55:01+00:00,,
7,july-early,after,2019-06-10,power outage,1137870583532625921,SandraNguyen22,I’m fucking hot. Drove all the way to great mall and there’s a power outage.. smh,2019-06-09 23:54:22+00:00,,
8,july-early,after,2019-06-10,power outage,1137870569519702016,MrMosis,"I think he's saying socialist-esque approach to policy in general will lead to power outages, irrespective of whatever party name or label is put on it.",2019-06-09 23:54:19+00:00,,
9,july-early,after,2019-06-10,power outage,1137870431644524545,CoServ_Energy,"@McFleury_96 Unfortunately, this restoration could take several hours into the early morning to restore. We have all available crews out &amp; working as safely as they can. We apologize for the extended power outage &amp; any inconvenience as crews work to replace the broken poles.",2019-06-09 23:53:46+00:00,,
10,july-early,after,2019-06-10,power outage,1137870210222845952,RPUnews,"All power has been restored to the Tyler Avenue area. Remember, you can always check the status of a power outage at http://RiversidePublicUtilities.com/outages.",2019-06-09 23:52:53+00:00,,
11,july-early,after,2019-06-10,power outage,1137870107072434177,topanga______,Dallas traffic became like 100x more dangerous after the power outage. I’m in for the night. Can’t fade it.,2019-06-09 23:52:28+00:00,,
12,july-early,after,2019-06-10,power outage,1137870096079118338,S_HastingsSimon,"The real threat of increased power outages is from the impact of climate change, California is now seeing the first ""public safety power shutoff"". ",2019-06-09 23:52:26+00:00,,
13,july-early,after,2019-06-10,power outage,1137869968530448384,gunsensibility,Dallas/Denton @MomsDemand #WearOrange even with straight line winds and power outages all over Dallas today! ,2019-06-09 23:51:55+00:00,#WearOrange,
14,july-early,after,2019-06-10,power outage,1137869818890248194,lastangelman,"We survived the storm, not even a power outage, but KeLaine's phone somehow got knocked out",2019-06-09 23:51:20+00:00,,
15,july-early,after,2019-06-10,power outage,1137869798421946369,macadamia_man,"Paul McArdle sheds some much-needed light on the AGL Loy Yang outage implications. My version: it's not as great or imminent or obvious a problem as we are being told, but it definitely is a problem, and symptomatic of our serial power policy follies. http://www.wattclarity.com.au/articles/2019/06/extended-outage-at-loy-yang-a2/",2019-06-09 23:51:15+00:00,,
16,july-early,after,2019-06-10,power outage,1137869763269529601,dalkombts,we going power outage ,2019-06-09 23:51:06+00:00,,
17,july-early,after,2019-06-10,power outage,1137869626740748289,omfgnataly,Apparently there was a power outage and chipotle is closed I’m SAD,2019-06-09 23:50:34+00:00,,
18,july-early,after,2019-06-10,power outage,1137869581358370816,TQSherwood,Didn’t know Trudeau could cause power outages lol,2019-06-09 23:50:23+00:00,,
19,july-early,after,2019-06-10,power outage,1137869339103760385,jer__d,A story about why in the hell power lines aren't underground would be interesting. Would definitely have solved this giant mess of several hour outages (and counting),2019-06-09 23:49:25+00:00,,
20,july-early,after,2019-06-10,power outage,1137868549756555264,shogun777,"DFW weather: Storm damage, photos and videos, flight info, power outage numbers ",2019-06-09 23:46:17+00:00,,
21,july-early,after,2019-06-10,power outage,1137868261465481219,poandpo,Strong winds cause mass power outages in New Zealand's largest city https://www.poandpo.com/news/strong-winds-cause-mass-power-outages-in-new-zealands-largest-city-962019311 #News http://www.poandpo.com #340,2019-06-09 23:45:08+00:00,#News,
22,july-early,after,2019-06-10,power outage,1137868187465342976,brucetomaso,"Hey, ‘all news’ @KRLD: Audio of 60 Minutes is not helpful when the city is in the midst of a massive power outage. Do your goddamn job.",2019-06-09 23:44:51+00:00,,
23,july-early,after,2019-06-10,power outage,1137868096562237442,BethDAngelo1,@alectranews power outage in Richmond hill. Big bang heard. When will power be restored?,2019-06-09 23:44:29+00:00,,
24,july-early,after,2019-06-10,power outage,1137868082343481346,oncor,"Hi Andrea, Can you please direct message your address and phone number so we can report the power outage? Thanks ~Susan",2019-06-09 23:44:26+00:00,,
25,july-early,after,2019-06-10,power outage,1137867949891448832,claudiamonster0,"Of course my store decides to have a power outage today of all days. No air conditioning and everyone yelling at me, what a wonderful time to work in retail",2019-06-09 23:43:54+00:00,,
