,Event,Stage,Query Date,Query Term,Id,Username,Text,Date,Hashtags,Location
0,july-end,before,2019-06-30,power outage,1145119513286832128,LightwireAlerts,[Resolved] Incident - Power outage - Degraded service in section of our network Lightwire: https://portal.lightwire.co.nz/p/events/652 Lightwire Business: https://portal.lightwirebusiness.com/p/events/652 Last updated: 2019-06-30 11:59 NZST,2019-06-29 23:59:01+00:00,,
1,july-end,before,2019-06-30,power outage,1145119248043380736,rrgomes,This power outage nonsense is really annoying.,2019-06-29 23:57:58+00:00,,
2,july-end,before,2019-06-30,power outage,1145118926952697856,nikki_skywalker,"Someone really needs to look into all these power outages at Florida sporting events, man #FyterFest",2019-06-29 23:56:42+00:00,#FyterFest,
3,july-end,before,2019-06-30,power outage,1145118511020281856,hydroottawa,"OUTAGE UPDATE: Power is expected to be restored for outage in Innes, Kanata North, West Carleton, Stittsville, Osgoode, Rideau-Goulbourn, and Kanata South ward by 8:30pm #OttawaOutage",2019-06-29 23:55:02+00:00,#OttawaOutage,
4,july-end,before,2019-06-30,power outage,1145118494150856710,skirri,Power's out in K'ville. I got the @HydroOne outage map to work for a few seconds. Projected power restoration about 10pm.,2019-06-29 23:54:58+00:00,,
5,july-end,before,2019-06-30,power outage,1145118478359244801,dianeastley,"Summer in Stittsville - bit of a storm, add a lot of hail, and power outage. #storm #hail #rain #thunder #downpour #stittsville https://www.instagram.com/p/BzT8HLSF_CH/?igshid=1ahslb7yu3rc0",2019-06-29 23:54:55+00:00,#storm #hail #rain #thunder #downpour #stittsville,
6,july-end,before,2019-06-30,power outage,1145118346427457537,Cinders10122019,"Could the team fix my power outage? The fates seem against me, in completing this Nightwave. ",2019-06-29 23:54:23+00:00,,
7,july-end,before,2019-06-30,power outage,1145117733702553600,HylianVoice,"Alright, hopefully without the power outages ",2019-06-29 23:51:57+00:00,,
8,july-end,before,2019-06-30,power outage,1145117428319473664,FortNite_FTW_,Oh no! A power outage via /r/FortNiteBR https://fortniteftw.wordpress.com/2019/06/29/oh-no-a-power-outage-via-r-fortnitebr-2/,2019-06-29 23:50:44+00:00,,
9,july-end,before,2019-06-30,power outage,1145117248090202112,tera13_,"Here in Italy practically everyone owns at least one AC, to the point where we get power outages because of the excessive power draw of the air conditioners in the city",2019-06-29 23:50:01+00:00,,
10,july-end,before,2019-06-30,power outage,1145117097825054720,ayzewi,*cries in CS5* ;_; I would love such a feature! I'm glad you've got it though. I've lost many a picture to power outages. It makes me so angry that I don't want to work on the art that was lost any more.,2019-06-29 23:49:26+00:00,,
11,july-end,before,2019-06-30,power outage,1145116830392078338,elijahdprophet,What a horrible night to have a curse* *Weekend long power outage due to landlord and/or power company incompetence,2019-06-29 23:48:22+00:00,,
12,july-end,before,2019-06-30,power outage,1145116490670256129,jennbojones,Power outages and storms. That is all. This is north Texas. Welcome.,2019-06-29 23:47:01+00:00,,
13,july-end,before,2019-06-30,power outage,1145116180224495617,TorranceAlerts,"Information from Torrance Fire Department - Traffic lights are out at Hawthorne Blvd. between Carson St. and Sepulveda Blvd. and Carson St. between Del Amo Circle and Anza Ave. due to a power outage. T F D, T P D and Torrance Public Works are on scene. Please avoid the area. ",2019-06-29 23:45:47+00:00,,
14,july-end,before,2019-06-30,power outage,1145116034912985088,TorrancePD,"Information from Torrance Fire Department - Traffic lights are out at Hawthorne Blvd. between Carson St. and Sepulveda Blvd. and Carson St. between Del Amo Circle and Anza Ave. due to a power outage. T F D, T P D and Torrance Public Works are on scene. Please avoid the area.",2019-06-29 23:45:12+00:00,,
