,Event,Stage,Query Date,Query Term,Id,Username,Text,Date,Hashtags,Location
0,ne_bomb_cyclone,during,2019-10-17,power outage,1184619900561776640,KenyaPower_Care,"If you're experiencing a power outage, please provide your a/c number for assistance. ^BT",2019-10-16 23:59:28+00:00,,
1,ne_bomb_cyclone,during,2019-10-17,power outage,1184619790310223872,KPIXtv,A top Pacific Gas and Electric Co. executive who was among a group of employees who wined and dined top customers just before the utility's mass power outage last week is no longer with the company. ,2019-10-16 23:59:01+00:00,,
2,ne_bomb_cyclone,during,2019-10-17,power outage,1184619622290657280,ashulman_RS,"In a bid to vindicate its controversial call to turn off power for hundreds of thousands of Californians last week, PG&amp;E announced yesterday that wind caused a ""large tree"" to uproot a utility pole in Shasta County during the planned outage. Pictures: ",2019-10-16 23:58:21+00:00,,
3,ne_bomb_cyclone,during,2019-10-17,power outage,1184619417998520321,BillGarlandSpkr,Great question -- especially for places that have experienced rolling power outages in the past...,2019-10-16 23:57:33+00:00,,
4,ne_bomb_cyclone,during,2019-10-17,power outage,1184619108102561792,wjmuck,Professor Erin Bergren talking power outages and climate change at #TIPTalks.,2019-10-16 23:56:19+00:00,#TIPTalks,
5,ne_bomb_cyclone,during,2019-10-17,power outage,1184619037881290753,Jefferson_PUD,The winds are slowing and our crews are finishing up with the last couple of outages. More wind is coming later later tonight though. If your power goes out call 360-385-5800,2019-10-16 23:56:02+00:00,,
6,ne_bomb_cyclone,during,2019-10-17,power outage,1184619037524930560,linmaur,Storm power outages ,2019-10-16 23:56:02+00:00,,
7,ne_bomb_cyclone,during,2019-10-17,power outage,1184618941920010243,NYCSpeakerCoJo," WIND ADVISORY! From 10pm tonight until 6pm tomorrow evening, we're in for some serious gusts throughout the entire tri-state area. The National Weather Service warns that the strong winds may down trees and power lines, potentially causing outages. Be safe everyone!",2019-10-16 23:55:39+00:00,,
8,ne_bomb_cyclone,during,2019-10-17,power outage,1184618627850358784,networktasman,An unexpected outage is affecting the Seaton Valley area where a tree has been dropped onto the power lines. Our contractors are on site and will restore supply as soon as possible. Supply has been restored to customers in the Upper Moutere area.,2019-10-16 23:54:24+00:00,,
9,ne_bomb_cyclone,during,2019-10-17,power outage,1184618409541038081,rcc_ictg,"“If you live or work in or near this area, you should make preparations for a possible multiple day power outage lasting as long as five to seven days...” ",2019-10-16 23:53:32+00:00,,
10,ne_bomb_cyclone,during,2019-10-17,power outage,1184617674799828993,BabbyJaso,when you get a power outage in your room ,2019-10-16 23:50:37+00:00,,
11,ne_bomb_cyclone,during,2019-10-17,power outage,1184616929866211334,MeteoroloJess,Could see a few showers in the next 30 minutes or so in Southern Maine. Heavy rain and gusty winds come overnight. Power outages possible. We'll have a Facebook Live in about 2 minutes on NEWS CENTER Maine's Facebook page! #NCMwx,2019-10-16 23:47:39+00:00,#NCMwx,
12,ne_bomb_cyclone,during,2019-10-17,power outage,1184616297243578368,GX94Radio,The number of people affected by power outages in MB is starting to go down. Details at 6 SK time w/ GX94 News.,2019-10-16 23:45:09+00:00,,
13,ne_bomb_cyclone,during,2019-10-17,power outage,1184616296350212097,ilovegoodcarma,"Don't lose faith! 2100 children in cages were rescued from tunnels below Cali & is the justification for the power outages. Still, Nasty Nancy is all torn up over the alleged deaths of Syrian children. Sorry, I need proof, which the Rats never offer.",2019-10-16 23:45:08+00:00,,
14,ne_bomb_cyclone,during,2019-10-17,power outage,1184616169225048064,countyofsb,"@SCE may turn off power to areas west of Goleta from Gaviota to Jalama Beach later this week due to expected high winds. If you have questions, call #SCE at 1-800-611-1911. For tips to prepare for power outages, go to http://www.ReadySBC.org #CAWX #SantaBarbaraCounty",2019-10-16 23:44:38+00:00,#SCE #CAWX #SantaBarbaraCounty,
15,ne_bomb_cyclone,during,2019-10-17,power outage,1184615616948383744,_leolionheart_,Survive Any Situation (SAS) #SAS TIP: Be sure you have a way to charge your devices and a way to get information during a power outage. 1. Handcrank Radio/Flashlight 2. Solar charger for devices 3. Powerbanks Be sure to research various models and read the reviews. ,2019-10-16 23:42:26+00:00,#SAS,
