_wkt_geom,id,xcoord,ycoord
Point (-77.58788778888725801 38.32415544020682319),17892,-77.58788779,38.32415544
Point (-76.48550640128354416 38.47508461690389936),17891,-76.4855064,38.47508462
Point (-77.41021456388132549 38.30670835924499329),17894,-77.41021456,38.30670836
Point (-77.79985279265937947 38.45514536776436643),17893,-77.79985279,38.45514537
Point (-77.83618103291209422 38.62109214538766366),17888,-77.83618103,38.62109215
Point (-77.70171511092523531 38.01801943169093789),17887,-77.70171511,38.01801943
Point (-76.88355933388091046 38.25462949347709696),17890,-76.88355933,38.25462949
Point (-77.9405887798798318 39.30486772931273265),17889,-77.94058878,39.30486773
Point (-77.29445195189360618 38.8757303210417291),17900,-77.29445195,38.87573032
Point (-78.04189633627724731 38.38882044720320152),17899,-78.04189634,38.38882045
Point (-77.01678332018947515 39.0522822141815027),17902,-77.01678332,39.05228221
Point (-77.18270717741796716 38.73563744600192393),17901,-77.18270718,38.73563745
Point (-76.97680091028620097 39.00349541798922814),17896,-76.97680091,39.00349542
Point (-77.32070343509154497 38.61947851993621583),17895,-77.32070344,38.61947852
Point (-77.74925310155421698 39.35012843704825514),17898,-77.7492531,39.35012844
Point (-77.75534556000751252 38.7473468286521836),17897,-77.75534556,38.74734683
Point (-77.30043906346524807 38.80017256433652051),17908,-77.30043906,38.80017256
Point (-77.38159024579836398 38.64178068267924715),17907,-77.38159025,38.64178068
Point (-77.12427260055409306 39.1951184092306093),17910,-77.1242726,39.19511841
Point (-77.35451974301855671 39.68677069110053424),17909,-77.35451974,39.68677069
Point (-77.88315410045905196 39.17674095806038537),17904,-77.8831541,39.17674096
Point (-77.16781782469274731 39.26511118138597567),17903,-77.16781782,39.26511118
Point (-77.84947389590325884 38.92833120308533523),17906,-77.8494739,38.9283312
Point (-77.68733618219260961 38.85691285321661326),17905,-77.68733618,38.85691285
Point (-77.37411370914455233 39.33657049080444779),17916,-77.37411371,39.33657049
Point (-78.16148331330387578 38.69772364001096321),17915,-78.16148331,38.69772364
Point (-78.23653716507031675 38.59142944286655563),17918,-78.23653717,38.59142944
Point (-77.17477377660776483 38.6820489592973189),17917,-77.17477378,38.68204896
Point (-77.5077583916874886 38.40528785650475641),17912,-77.50775839,38.40528786
Point (-77.66995795341790654 39.21271425649559461),17911,-77.66995795,39.21271426
Point (-77.72981787627244898 39.21439485215453402),17914,-77.72981788,39.21439485
Point (-76.93672586968317262 38.72377624739437607),17913,-76.93672587,38.72377625
Point (-76.5899888310906789 38.56105041358370045),17860,-76.58998883,38.56105041
Point (-77.73746243814358081 38.90651358474919874),17859,-77.73746244,38.90651358
Point (-76.49201473716185262 38.49843899714691275),17862,-76.49201474,38.498439
Point (-77.59034351766810289 39.1894269683883536),17861,-77.59034352,39.18942697
Point (-77.35888470670700201 39.62937759876176358),17856,-77.35888471,39.6293776
Point (-77.4743697292134641 38.67116585860783573),17855,-77.47436973,38.67116586
Point (-77.40589156829099693 38.65209577823943476),17858,-77.40589157,38.65209578
Point (-78.07346356408412191 39.01601217232538943),17857,-78.07346356,39.01601217
Point (-77.90710554480982353 38.47736282865813706),17868,-77.90710554,38.47736283
Point (-77.75816975841121348 38.81098798041556108),17867,-77.75816976,38.81098798
Point (-77.90270083985856786 39.25655886159667318),17870,-77.90270084,39.25655886
Point (-77.22949967744065702 38.60703656943427831),17869,-77.22949968,38.60703657
Point (-77.83910459877091625 39.37415532713107069),17864,-77.8391046,39.37415533
Point (-77.17348567746800825 39.05396819911474893),17863,-77.17348568,39.0539682
Point (-77.22646758834353875 38.39692948107617099),17866,-77.22646759,38.39692948
Point (-77.53298702024088129 38.37793397392064065),17865,-77.53298702,38.37793397
Point (-77.08360710971334129 38.83589721737919831),17876,-77.08360711,38.83589722
Point (-77.94586462695259854 39.23589479368997246),17875,-77.94586463,39.23589479
Point (-77.59271438812167787 38.39561579030808502),17878,-77.59271439,38.39561579
Point (-77.44988098226325235 39.29748661519692376),17877,-77.44988098,39.29748662
Point (-76.95270657166575745 38.62500432124038952),17872,-76.95270657,38.62500432
Point (-76.99294074944960187 38.84917738321629344),17871,-76.99294075,38.84917738
Point (-77.54243215690405577 39.31736114007244964),17874,-77.54243216,39.31736114
