,Event,Stage,Query Date,Query Term,Id,Username,Text,Date,Hashtags,Location
0,january-end,before,2019-01-30,power outage,1090398820939251713,iNewzTV,BREAKING NEWS UPDATE! Power outages in several towns across Northwest Minnesota. WATCH AT: http://www.iNewZ.TV,2019-01-29 23:58:32+00:00,,
1,january-end,before,2019-01-30,power outage,1090398115956350976,Matt_Agridome,Lightning in Boorolite Valley NE Vic this morning - 12mm rain followed #stormtracker #poweroutage ,2019-01-29 23:55:44+00:00,#stormtracker #poweroutage,
2,january-end,before,2019-01-30,power outage,1090397925589450752,PetraSZN,"Imagine having a multi million dollar company internet provider company and having a 2+ hour power outage, the next day have your internet be slower then the time it takes for a snail to cross the road. On my PC I can't watch or stream right now on twitch. Unless its xbox.",2019-01-29 23:54:58+00:00,,
3,january-end,before,2019-01-30,power outage,1090397520520458245,Condiment_Games,Okay MN please stop. 11 month old baby and a power outage due to the cold does not mix.,2019-01-29 23:53:22+00:00,,
4,january-end,before,2019-01-30,power outage,1090397116315373574,laird071987,@elkenergyinc what's going on with the power outage in Harrow?,2019-01-29 23:51:45+00:00,,
5,january-end,before,2019-01-30,power outage,1090397095633342470,niallyhd,"@wpduk B75 compete power outage including streetlights, and traffic lights.",2019-01-29 23:51:40+00:00,,
6,january-end,before,2019-01-30,power outage,1090396926011457537,AusEnergyMag,Minister for Energy Angus Taylor has spoken out regarding the Victorian power outages https://www.energymagazine.com.au/?p=23471,2019-01-29 23:51:00+00:00,,
7,january-end,before,2019-01-30,power outage,1090396805127385088,mmonthebiff,Great a fucking power outage:),2019-01-29 23:50:31+00:00,,
8,january-end,before,2019-01-30,power outage,1090396081920401408,Jacklifear,Power Outages are exactly not what I want on a day that the windchill today is between -45 and -65 degress F. Then I see Pikachu and I smile ,2019-01-29 23:47:39+00:00,,
9,january-end,before,2019-01-30,power outage,1090395640939597826,SpeakBravely,Widespread power outage just now in southwest Bloomington. @wcco @XcelEnergyMN,2019-01-29 23:45:54+00:00,,
10,january-end,before,2019-01-30,power outage,1090395490682843136,ManxWillis,"@manx_utilities - power outage in lakeside, Onchan",2019-01-29 23:45:18+00:00,,
11,january-end,before,2019-01-30,power outage,1090394974070419456,LeelsGames,Hey pals who may not have experienced cold like you will during #PolarVortex2019. Stay inside. Actually dress appropriately if you have to. Google how to prevent pipes bursting in your home. Prepare for power outages - and have lots of layers to bundle up in!,2019-01-29 23:43:15+00:00,#PolarVortex2019,
12,january-end,before,2019-01-30,power outage,1090394761859645440,ODellPelley70,Power outage is Massey Drive.. Any ideas?,2019-01-29 23:42:24+00:00,,
13,january-end,before,2019-01-30,power outage,1090394018666741766,Gwydion_Wolf,Weather change from 60F to 15-20F that we are having between now and tomarrow morning. See you all tomarrow afternoon baring any power-outages! ,2019-01-29 23:39:27+00:00,,
14,january-end,before,2019-01-30,power outage,1090393703741562881,BenFeller,"Current Penn State students are soft as hell for wanting class cancelled. It took a damn hurricane to threaten a town-wide power outage and even then, classes were let out only at noon when I was there. Goodnight.",2019-01-29 23:38:12+00:00,,
15,january-end,before,2019-01-30,power outage,1090393498711396352,ComEd,"We're prepared to help our customers & employees as extreme cold temperatures impact our service area. We've proactively increased crew staffing and readied equipment to respond quickly if power outages occur. Learn more about how you can prepare, too: http://ow.ly/Ce3030nvj9w",2019-01-29 23:37:23+00:00,,
16,january-end,before,2019-01-30,power outage,1090393372311855106,Jon_Henry2,Very dangerous weather for Midwest. Life threatening wind chills & record snowfalls combine to create hazards for travelers across upper Midwest into East coast for the coming weeks. Power outages due to broken tree limbs on lines &amp; abnormally high demand could leave millions in ,2019-01-29 23:36:53+00:00,,
17,january-end,before,2019-01-30,power outage,1090392765165387776,NetNewsLedger,Hydro One Reports Outages in Hurkett and Leith http://www.netnewsledger.com/2019/01/29/hydro-one-reports-two-outages-in-northern-ontario/ #hydro #poweroutage #hydroone #kenora #hurkett #cold #onstorm,2019-01-29 23:34:28+00:00,#hydro #poweroutage #hydroone #kenora #hurkett #cold #onstorm,
