,Event,City,Stage,Query Date,Id,Username,Text,Date,Hashtags,Location
0,ne_bomb_cyclone,boston,before,2019-10-15,1183359539980263424,ToddMilewski,One more note before I get on the plane: @BadgerMHockey is at 50% on the power play but doesn't have the best percentage on campus. @BadgerWHockey is at 52% through six games after going 4-for-4 in a 7-3 win at Ohio State yesterday.,2019-10-13 12:31:14+00:00,,
1,ne_bomb_cyclone,boston,before,2019-10-15,1182284510622339073,MsLaToshaBrown,"I believe the energy we put out in the world creates more energy. We need the generate love in the world right now. For the Kurdish people, ourselves and for each other. Here is a video that highlights our Love and Power building work. Love works y’all! ",2019-10-10 13:19:27+00:00,,
2,ne_bomb_cyclone,boston,before,2019-10-15,1181909705691684864,lauren_marietta,"""Why should we care about the bad behavior of a brilliant physicist who died >30 years ago? ...B/c the power structures that enabled Feynman’s sexism then are the same ones that now allow us to forget his conduct, remembering him only as a great scientist."" THANK you, @abehmard",2019-10-09 12:30:07+00:00,,
3,ne_bomb_cyclone,boston,before,2019-10-15,1181568421286334464,tonyhawk,Nelson Mandela said that “sport has the power to change the world” because it can unite people like little else does. I’m a proud supporter of @LaureusSport; they use the inspirational and unifying power of sport as a force for good #SportUnitesUs,2019-10-08 13:53:58+00:00,#SportUnitesUs,
4,ne_bomb_cyclone,boston,before,2019-10-15,1181216354294226944,JoeBarri,Trump's presidency has been defined solely in terms of his obsession with power. His tweets and other daily pursuits are entirely Machiavellian.,2019-10-07 14:34:59+00:00,,
5,ne_bomb_cyclone,boston,before,2019-10-15,1176898955768205315,Data4BlackLives,“Plantations were diverse and inclusive places .... “ @ruha9 on the potential violence of inclusion when unchecked for the power and hierarchies that underlines it. #PleaseDontIncludeUs Workshop @Harvard – at John F. Kennedy School of Government,2019-09-25 16:39:11+00:00,#PleaseDontIncludeUs,
6,ne_bomb_cyclone,boston,before,2019-10-15,1176476394966138880,davegerhardt,The power of books = getting unstuck on an idea. Stuck. Find the related book. Flip through. Get unstuck.,2019-09-24 12:40:05+00:00,,
7,ne_bomb_cyclone,boston,before,2019-10-15,1175808755134586883,RWPUSA,So how many cabinet members support collusion with a foreign power to win an election -again? ,2019-09-22 16:27:07+00:00,,
8,ne_bomb_cyclone,boston,before,2019-10-15,1175749795790688263,JoeBarri,IMPEACHABLE: *Getting BJs from intern (22) in WH NOT IMPEACHABLE: *Welcoming election interference from enemy & obstructing crim investig of it *Using office to enrich ur businesses *Defying Cong subpoenas *Gross abuses of power *Attacking democratic institutions *Big lies daily,2019-09-22 12:32:50+00:00,,
9,ne_bomb_cyclone,boston,before,2019-10-15,1173953192922636289,marylouakai,"I just want you to think about the fact that there has NEVER been a woman leading this country. Think about that that does to women and girls, what that teaches us about leadership and power as we grow up studying man after man after man take the helm. ",2019-09-17 13:33:46+00:00,,
10,ne_bomb_cyclone,boston,before,2019-10-15,1173225009772449793,evankirstel,These #drones are used to string power lines! #utilities #dronenews,2019-09-15 13:20:14+00:00,#drones #utilities #dronenews,
11,ne_bomb_cyclone,boston,before,2019-10-15,1172968574073409538,livelovegeek,The power squad reppin' @Microsoft at @HackMIT! @Cassieview | @paladique | @vaness_diaz | #MicrosoftLife | @MicrosoftWomen | @MSFTImagine – at Massachusetts Institute of Technology (MIT),2019-09-14 20:21:15+00:00,#MicrosoftLife,
12,ne_bomb_cyclone,boston,before,2019-10-15,1167261482951819264,JoeBarri,"Another disgusting week of execrable behavior: gratuitous meanness, abuses of power, support for sycophants, insults to allies, violations of the constitution, distortions of reality. Trump being Trump. It's now or never @SpeakerPelosi.",2019-08-30 02:23:18+00:00,,
13,ne_bomb_cyclone,boston,before,2019-10-15,1166857458960261122,IAM_DJ_Michael,The power this has ,2019-08-28 23:37:52+00:00,,
14,ne_bomb_cyclone,boston,before,2019-10-15,1163796504890531840,CampbellforD4,"I believe in the power of sharing our stories, even the painful ones. Our country has long ignored and often revised key parts of our founding story - it is far past time we address &amp; highlight these truths. TY @nytimes @nhannahjones for the 1619 Project.",2019-08-20 12:54:43+00:00,,
15,ne_bomb_cyclone,boston,before,2019-10-15,1162338414655627264,afrolatinax,THE PEOPLE CLOSEST TO THE PAIN SHOULD BE THE ONES CLOSEST TO THE POWER A Housing Conversation with @RepPressley little ole me got to interview no one other than CONGRESSWOMAN AYANNA PRESSLEY! I am beaming with pride. Thank you GOD for flooding my life with love + opportunity,2019-08-16 12:20:47+00:00,,
16,ne_bomb_cyclone,boston,before,2019-10-15,1158447944066056192,cesifoti,"Incentives are like drugs that lose power the more we use them. So it is important to find what motivates you at different points in life. Early on your career money &amp; status may be big motivators. Later in life, less so. Knowing how to switch incentives is key to keep motivated.",2019-08-05 18:41:27+00:00,,
17,ne_bomb_cyclone,boston,before,2019-10-15,1156649698477916160,TimNBCBoston,"A little bit scary in our parking lot right now. Power just went out @NBC10Boston @NECN but we have back up power, and we are broadcasting live with these thunderstorms – at New England Cable News (NECN)",2019-07-31 19:35:52+00:00,,
18,ne_bomb_cyclone,boston,before,2019-10-15,1154923882043858945,evankirstel,Blackout Scenario: Power Grid Vulnerable to New Type of Cyber Attack #cyberattacks #CyberSec #cyber #hackers #BHUSA #IoT #utilities,2019-07-27 01:18:05+00:00,#cyberattacks #CyberSec #cyber #hackers #BHUSA #IoT #utilities,
19,ne_bomb_cyclone,boston,before,2019-10-15,1148602834675556354,karaswisher,Clearly @robbystarbuck is not aware of the Militia Etheridge. We get our rampart parts and lesbian toolbelts and power drills @HomeDepot. But @Lowes will do fine.,2019-07-09 14:40:30+00:00,,
20,ne_bomb_cyclone,boston,before,2019-10-15,1183476782386810880,manishabewtra,“I learned how to be scared and fearless at the same time.” @JaneKim on being a woman of color in power,2019-10-13 20:17:07+00:00,,
21,ne_bomb_cyclone,boston,before,2019-10-15,1181949418930606082,RevEverett,"2. Pls don’t tell me to “ride safely.” I do. What I need is people with more power to be more careful. We’re aiming for this in the world, right? Those with more power are more responsible for the safety of the more vulnerable. Drive with the care and concern that you could kill. – at Columbus Ave",2019-10-09 15:07:55+00:00,,
22,ne_bomb_cyclone,boston,before,2019-10-15,1181002356214976516,weinandcheese,"Everyone, stop what you’re doing and watch @netflix’s new Rotten episode on bottled water! Besides the damning content that illuminates just some of Nestlés abuses, you’ll get to see champions like @jakporphilip speak truth to power ",2019-10-07 00:24:38+00:00,,
23,ne_bomb_cyclone,boston,before,2019-10-15,1179962284631834625,caramooney,"Thoughts from game one: - Power play will need some work (yes, I know they scored but...) - Rask looked strong - Kuhlman is FAST - Cliffy hockey &gt; - Bruins looked great in the neutral zone with making it difficult for Dallas to get through #NHLBruins",2019-10-04 03:31:45+00:00,#NHLBruins #NHLBruins,
24,ne_bomb_cyclone,boston,before,2019-10-15,1179523399539933184,Mugsysam,"Remember everyone, Michael Dougherty made #GodzillaKingOfTheMonsters for us, the fans, not the film critics. This is how film making should be. We've given critics too much power &amp; now it's ruining the film industry. We need to take that power back &amp; stop listening to them. ",2019-10-02 22:27:47+00:00,#GodzillaKingOfTheMonsters,
25,ne_bomb_cyclone,boston,before,2019-10-15,1179470325844590592,nathanpboston,"Realistically, think about it: NO ONE wants the compressor, except Baker & his handlers. Doesn’t matter what political party. 6,902,149 people in MA. Maybe 6,900,000 against & 2,149 for? We have the power to overwhelm Baker. We just need to activate. Let’s do it!!!",2019-10-02 18:56:53+00:00,,
26,ne_bomb_cyclone,boston,before,2019-10-15,1177728198081163265,DraftKings,Polar. Bear. Power. Pete Alonso ties the all-time rookie home run record with No. 52 ,2019-09-27 23:34:18+00:00,,
27,ne_bomb_cyclone,boston,before,2019-10-15,1176691811710099457,JordanMeehan,"The biggest downside to tonight though is that we won’t have a renter on the ballot in a majority renter neighborhood. It’s time for renters in #Allston-#BrightonMA to get organized. And that has to be our next step. Tenant rights, tenant power. #bospoli",2019-09-25 02:56:04+00:00,#Allston #BrightonMA #bospoli,
28,ne_bomb_cyclone,boston,before,2019-10-15,1175570785689165824,USCentrist,"Donald Trump is a serial liar who will stop at nothing to stay in power, no matter how much our democracy has to suffer in the process. He is immoral, he is corrupt, he is power-hungry, he is a traitor, and he must be removed from office. ",2019-09-22 00:41:31+00:00,,
29,ne_bomb_cyclone,boston,before,2019-10-15,1174445422703730691,kingkos__,A few weeks back I tweeted about how “it’s not my season” but still having the ability to trust in God. Today I can say I’m a walking testimonial. There is power in prayer and the Lord has opened up a wonderful door for me. IT’S MY SEASON!!! Thank you God!,2019-09-18 22:09:43+00:00,,
30,ne_bomb_cyclone,boston,before,2019-10-15,1174428255115513857,eugeniaschraa,"Why housing, though? 3 reasons: 1. It’s the one issue city council has real power over in #cambma 2. It’s the one thing councilors disagree on. 3. Housing is actually ALL ISSUES. Climate, inclusion, diversity, equity. All hugely determined by where we let people live.",2019-09-18 21:01:30+00:00,#cambma,
