,Event,City,Stage,Query Date,Query Term,Id,Username,Text,Date,Hashtags,Location
0,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1178750481470038016,MattOMalley,"Regarding the power outage in Forest Hills: I've been in contact with @EversourceMA. Upgrading the system is taking longer than expected, so power will remain out until 6 PM. There is no more work scheduled for this area in 2019, so these outages should be done after today. (1/2)",2019-09-30 19:16:29+00:00,,
1,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1176812792671875072,DanielHullah,It is 6:55am. Power outage Chez Hullah. Great time for a family breakfast conversation about deep decarbonization through the electrification of everything...,2019-09-25 10:56:48+00:00,,
2,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1152792120329195520,americocap,Nice power outage in my part of #Dorchester during the hottest night of the year. Anyone else without power? @WelcomeToDot @chipsy231 @universalhub,2019-07-21 04:07:13+00:00,#Dorchester,
3,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1152236137915867137,1025Marissa,"With this #heatwave the next couple days, please: • keep hydrated • keep pets inside • check on the older peeps • have a power outage plan • dont leave kids/pets in the car Spread it...Be aware...Be Safe ",2019-07-19 15:17:57+00:00,#heatwave,
4,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1151712891193741313,heartscvm,The power outage was 100% worth it – at Somewhere In Cambridge,2019-07-18 04:38:45+00:00,,
5,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1151476249182769153,RyanMigeed,Power outage on the *usually reliable* Blue Line @MBTA @MassDOT @MassGovernor #mapoli #railmatters @T4MASS @transitmatters – at MBTA Maverick Station,2019-07-17 12:58:25+00:00,#mapoli #railmatters,
6,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1147632689320800256,MayorBrodeur,"Spoke to NGrid about power outage. 2,632 customers out. They do expect it to fix relatively quickly. Stay tuned for further info. @CityofMelrose",2019-07-06 22:25:29+00:00,,
7,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1130566750016348164,jenyp,Customers wait outside after power outage at Chelsea ⁦@MarketBasket⁩ No word on when power will be restored. #Boston25,2019-05-20 20:11:32+00:00,#Boston25,
8,ne_bomb_cyclone,boston,before,2019-10-15,power outage,805195098585759744,dcopewbz,Shelter for people affected by Cambridge Fire moved to local high school because of power outage in the area. #wbz,2016-12-03 23:40:45+00:00,#wbz,
9,ne_bomb_cyclone,boston,before,2019-10-15,power outage,559780204286320640,PaulNuttingJr,Just had a robocall from Nstar warning me to prepare for power outage @universalhub @LaurenDezenski @WelcomeToDot,2015-01-26 18:29:35+00:00,,
10,ne_bomb_cyclone,boston,before,2019-10-15,power outage,525264711819202561,DebbieJoyce,@gordoncollege Thanks for letting @ECGulls Men's Soccer complete their game on your field last night! Crazy between weather and power outage,2014-10-23 12:37:20+00:00,,
11,ne_bomb_cyclone,boston,before,2019-10-15,power outage,486279997959966721,SuperAthens,A power outage is the perfect time to work on my list of things I need in case of a power outage. #emergency #preparedness #planner,2014-07-07 22:46:00+00:00,#emergency #preparedness #planner,
12,ne_bomb_cyclone,boston,before,2019-10-15,power outage,476881793984253952,lukwam,Power outage in Union Square Plaza has everything out from Cantina to the BoA ATM. Somerville Fire department has responded. @universalhub,2014-06-12 00:20:54+00:00,,
13,ne_bomb_cyclone,boston,before,2019-10-15,power outage,473416666295308288,brett_pierson,Explosion sound and power outage in JP by Green. Power restored within 10 mins. cc @universalhub @NSTAR_News,2014-06-02 10:51:43+00:00,,
14,ne_bomb_cyclone,boston,before,2019-10-15,power outage,443915705206181888,hillea,Power outage in DC looks like I'm not the only one trying to blackout tonight,2014-03-13 01:05:26+00:00,,
15,ne_bomb_cyclone,boston,before,2019-10-15,power outage,405674530133528576,iangrnt1,Hahaha we have a power outage good thing,2013-11-27 12:28:39+00:00,,
16,ne_bomb_cyclone,boston,before,2019-10-15,power outage,384543401372553216,StonewallSieve,I wanna get stuck in a power outage with someone,2013-09-30 05:01:06+00:00,,
17,ne_bomb_cyclone,boston,before,2019-10-15,power outage,298260257237499904,RandiLu,"When people talk about #sb47, it will be in terms of BPO &amp; APO (before power outage/after power outage) like they do with BC &amp; AD.",2013-02-04 02:42:41+00:00,#sb47,
18,ne_bomb_cyclone,boston,before,2019-10-15,power outage,274271484753633282,CambridgePolice,Plz use caution commuting during the power outage. Many street lights/signals out. PD on scene directing traffic where they can in #cambma,2012-11-29 21:59:52+00:00,#cambma,
19,ne_bomb_cyclone,boston,before,2019-10-15,power outage,225422300906921984,MarcJFernandez,"@easternmassrc “@NotifyBoston: POWER OUTAGE: NStar reports power outage in E Second, I, and L Sts area of SB. 92 cust.affected.”",2012-07-18 02:50:39+00:00,,
20,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1176688805853716485,Around_Weymouth,Power outage in East Weymouth caused by car into pole. ,2019-09-25 02:44:07+00:00,,
21,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1166595111565897729,EWGCHANNEL,Well no one is monitoring the texts as no one knows Why Canton has power outage? No updates. How can a lovely company as #Eversource have such poor communication?,2019-08-28 06:15:23+00:00,#Eversource,
22,ne_bomb_cyclone,boston,before,2019-10-15,power outage,1160538083688898566,WellesleyPolice,Power Outage: There are multiple reports from all over Wellesley about the power being out. WMLP has been notified. There is no ETA for restoration. Some traffic lights are out.,2019-08-11 13:06:55+00:00,,
